timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2018-03-28T00:00:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:01:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:02:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:03:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:04:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:05:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:06:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:07:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:08:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:09:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:10:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:11:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:12:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:13:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:14:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:15:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:16:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:17:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:18:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:19:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:20:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:21:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:22:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:23:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:24:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:25:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:26:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:27:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:28:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:29:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:30:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:31:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:32:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:33:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:34:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:35:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:36:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:37:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:38:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:39:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:40:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:41:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:42:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:43:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:44:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:45:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:46:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:47:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:48:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:49:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:50:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:51:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:52:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:53:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:54:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:55:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:56:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:57:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:58:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T00:59:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:00:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:01:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:02:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:03:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:04:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:05:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:06:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:07:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:08:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:09:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:10:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:11:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:12:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:13:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:14:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:15:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:16:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:17:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:18:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:19:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:20:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:21:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:22:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:23:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:24:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:25:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:26:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:27:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:28:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:29:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:30:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:31:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:32:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:33:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:34:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:35:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:36:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:37:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:38:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:39:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:40:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:41:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:42:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:43:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:44:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:45:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:46:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:47:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:48:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:49:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:50:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:51:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:52:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:53:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:54:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:55:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:56:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:57:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:58:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T01:59:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T02:00:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T02:01:00Z,btcusd,8050,8050,8050,8050,0
2018-03-28T02:02:00Z,btcusd,8050,8050,8050,8050,0
